graph,num_samps,mu,lambda,cv_loss,sfd,elbo_train,elbo_valid,recon_train,recon_valid
0,10000,0.0,0.0,0.7623760279196387,1,0.2035016966394231,0.0973768085241317,0.0223964178769648,0.0917974188923835
0,10000,0.02,0.0,0.7561115585052623,1,0.2071562594250787,0.0933960974216461,0.0219779341729192,0.0879526957869529
0,10000,0.03,0.0,0.7789128262621279,1,0.2409279851973811,0.1038850247859954,0.0258616323736083,0.0954522937536239
0,10000,0.05,0.0,0.7826329210916391,1,0.2343994873233988,0.1020555570721626,0.0251364365125758,0.0952889993786811
0,10000,0.07,0.0,0.7955129575127592,1,0.2278425729350198,0.1008643954992294,0.024712403175197,0.0940391346812248
0,10000,0.08,0.0,0.800273178739903,1,0.2245271030483366,0.1022511050105094,0.0245457763866155,0.0904227420687675
0,10000,0.1,0.0,0.7563873985352425,1,0.2090994629867469,0.0893805027008056,0.0231073168518988,0.0843117237091064
0,10000,0.0,0.02,0.7747078494813578,1,0.2708886024318164,0.1111466288566589,0.0295555075937056,0.0883912742137909
0,10000,0.02,0.02,0.8028306921944022,1,0.6677669260320784,0.4099190533161163,0.1199517310420169,0.7881813645362854
0,10000,0.03,0.02,0.792642020025792,1,0.263414865241775,0.1108772829174995,0.0286745113568215,0.0977266877889633
0,10000,0.05,0.02,0.7979969894083646,1,0.2334811566751214,0.1036376953125,0.0253926269073463,0.0941478535532951
0,10000,0.07,0.02,0.7972787555951911,1,0.2244985592138918,0.0953310579061508,0.0247813355578463,0.0922617837786674
0,10000,0.08,0.02,0.753615630332094,1,0.2084469644329216,0.0879656672477722,0.0228901560524407,0.0826819241046905
0,10000,0.1,0.02,0.7447612408548594,1,0.1896112183038192,0.0904234200716018,0.0210975683824736,0.0910625159740448
0,10000,0.0,0.03,0.8643883708434608,1,0.6784152147136157,0.4233449101448059,0.1231856092433386,0.8230422735214233
0,10000,0.02,0.03,0.7987911814967028,1,0.3116025662497629,0.1230100095272064,0.0365405252698478,0.0951609015464782
0,10000,0.03,0.03,0.8408064262225079,1,0.2966282848693147,0.1190556287765502,0.0341537299601337,0.0950656533241272
0,10000,0.05,0.03,0.7931100634714732,1,0.2379901368595376,0.1047950983047485,0.0261355040335579,0.0969118848443031
0,10000,0.07,0.03,0.7532855417794333,1,0.2185012718921975,0.1014167219400405,0.0239537705466905,0.0870905518531799
0,10000,0.08,0.03,0.7448410634023066,1,0.2022185120024258,0.0878144800662994,0.0220410990399084,0.073673777282238
0,10000,0.1,0.03,0.7419593496463046,1,0.1927690070263947,0.0869521051645279,0.0213101365120161,0.0785889104008674
0,10000,0.0,0.05,0.8708122533387863,1,0.2992432717281051,0.1277229934930801,0.0347261371774764,0.0979109331965446
0,10000,0.02,0.05,0.7995559280666594,1,0.2494227160947232,0.1068323701620101,0.0271947052023267,0.088854543864727
0,10000,0.03,0.05,0.7589850197761104,1,0.2390005545148366,0.1031912937760353,0.0260023777196301,0.0834829285740852
0,10000,0.05,0.05,0.7503411639481783,1,0.2202284439832349,0.096217580139637,0.0238947819776927,0.086505189538002
0,10000,0.07,0.05,0.7452817114356619,1,0.2116896293208569,0.0950528383255004,0.0233560530940377,0.0848756581544876
0,10000,0.08,0.05,0.7573798786204021,1,0.1998833565017845,0.0889877453446388,0.0219882433007978,0.0755244642496109
0,10000,0.1,0.05,0.79755579536924,1,0.1861427935618388,0.0891522020101547,0.0208084680776618,0.0910638570785522
0,10000,0.0,0.07,0.795526508628749,1,0.2339330976711043,0.1034249514341354,0.0253387156025141,0.0785831660032272
0,10000,0.02,0.07,0.7605098663900907,1,0.2191424409422693,0.0947840511798858,0.0238012392545425,0.0786760374903678
0,10000,0.03,0.07,0.7583817244220811,1,0.2182148122523404,0.0948223620653152,0.0237174788961493,0.0812887996435165
0,10000,0.05,0.07,0.7563175717082162,1,0.2244928004809572,0.1033795848488807,0.0249467041649961,0.0920887291431427
0,10000,0.07,0.07,0.7619609542047747,0,0.1980359254381324,0.0895280763506889,0.0217819209033741,0.0776151940226554
0,10000,0.08,0.07,0.7578713921830058,1,0.2278165755958496,0.0952632129192352,0.0248234940079759,0.0901797860860824
0,10000,0.1,0.07,0.7585017068669774,1,0.1864907106832612,0.0918167829513549,0.020861360786742,0.0958888158202171
0,10000,0.0,0.08,0.799793071170839,1,0.2226502625625344,0.0986721217632293,0.024106783509443,0.0711568221449852
0,10000,0.02,0.08,0.7548008436050553,1,0.2143172591547422,0.0954770669341087,0.02331111030771,0.0840557664632797
0,10000,0.03,0.08,0.7592720457639259,1,0.2154398683128477,0.0945285111665725,0.0234725306140659,0.088160902261734
0,10000,0.05,0.08,0.7815960362983437,0,0.2170368007655385,0.1010349243879318,0.0240381084547578,0.0885518193244934
0,10000,0.07,0.08,0.7914562204422859,1,0.2254805667679521,0.0960406363010406,0.0249777926674372,0.0913646146655082
0,10000,0.08,0.08,0.76195195758572,1,0.2237003472975537,0.0954628065228462,0.0247956977897807,0.0911813303828239
0,10000,0.1,0.08,0.7737460669559928,1,0.1867408193176305,0.0890213176608085,0.0209405837179739,0.0896690487861633
0,10000,0.0,0.1,0.8043468773293381,1,0.215363914076286,0.0979591161012649,0.0233725529352698,0.0720503628253936
0,10000,0.02,0.1,0.7567102523090747,1,0.2099335204008259,0.0947174057364463,0.0228767854786371,0.086514838039875
0,10000,0.03,0.1,0.7575718037282618,1,0.2156102693156351,0.0956735461950302,0.023547171178875,0.0877598226070404
0,10000,0.05,0.1,0.7558529579223922,0,0.2020264444283292,0.0913657173514366,0.0221978981943824,0.0792504474520683
0,10000,0.07,0.1,0.7911158408826361,0,0.2250247893831398,0.0944295227527618,0.0249193825558582,0.0877551883459091
0,10000,0.08,0.1,0.7559995787648055,0,0.2228133406820176,0.0953021124005317,0.0247439089690959,0.0919268727302551
0,10000,0.1,0.1,0.7750249436984841,1,0.1864478773897207,0.0886496528983116,0.0209536840196085,0.0889007449150085
1,10000,0.0,0.0,0.7316299364687159,6,0.7744134430643879,0.6492706537246704,0.1777463387462157,1.5636603832244873
1,10000,0.02,0.0,0.6968195702164218,7,0.822455233410944,0.6663925647735596,0.1799666281742385,1.5597275495529177
1,10000,0.03,0.0,0.6733331016049935,8,0.7541285594807395,0.62543785572052,0.178492281444465,1.560815453529358
1,10000,0.05,0.0,0.6444556020056973,8,0.7148623692838452,0.6518658399581909,0.1781705018085769,1.5567363500595093
1,10000,0.07,0.0,0.6711347997331849,8,0.7206704835348492,0.6662517786026001,0.1782912717589849,1.558948040008545
1,10000,0.08,0.0,0.6383644342135923,8,0.724728083308739,0.6808768510818481,0.1784460180545155,1.5594024658203125
1,10000,0.1,0.0,0.6858685323681969,8,0.7318384073957612,0.6586121916770935,0.1785059226087377,1.5604798793792725
1,10000,0.0,0.02,0.6890833690905801,6,0.756793001784554,0.6145910024642944,0.1779679167497007,1.5577737092971802
1,10000,0.02,0.02,0.6657960212861116,8,0.7536181426500972,0.6100195646286011,0.178138283045986,1.5615520477294922
1,10000,0.03,0.02,0.6474131402487938,8,0.696624371069896,0.6283619403839111,0.1782503535475912,1.5613642930984497
1,10000,0.05,0.02,0.6640498674832858,8,0.7380413277239739,0.7243441939353943,0.1784476494487328,1.5551375150680542
1,10000,0.07,0.02,0.7047446159932476,8,0.7336568862577028,0.7026990056037903,0.1784665873156318,1.5562666654586792
1,10000,0.08,0.02,0.6964081744878338,8,0.7412743289259416,0.636271059513092,0.1787388217222841,1.563126802444458
1,10000,0.1,0.02,0.6833907232261621,8,0.4571680962284909,0.162968710064888,0.1667602281027202,0.5385552644729614
1,10000,0.0,0.03,0.6735263031692458,6,0.7617361666281012,0.628645658493042,0.1784289194436012,1.5581599473953247
1,10000,0.02,0.03,0.6202787669805381,9,0.7050483532344238,0.5782997608184814,0.1781456749650496,1.5594857931137085
1,10000,0.03,0.03,0.6348672180651472,8,0.7526543517655964,0.6101369261741638,0.1782484627977202,1.5636752843856812
1,10000,0.05,0.03,0.6577635763499599,5,3.41986179955398,2.918339490890503,0.2016292101220239,1.5261949300765991
1,10000,0.07,0.03,0.6784340052363965,8,0.7354425610620764,0.6684675216674805,0.1785526583089104,1.5626726150512695
1,10000,0.08,0.03,0.7133561324041622,5,0.7828618537021589,0.7071762084960938,0.1802643914765949,1.574540138244629
1,10000,0.1,0.03,0.7101710699068813,8,0.7428275765497473,0.7169797420501709,0.1788715307093873,1.558530330657959
1,10000,0.0,0.05,0.6869858022349385,8,0.7970664840710314,0.6895905137062073,0.1789246723998951,1.5563567876815796
1,10000,0.02,0.05,0.6409113969797124,9,0.7723404501057878,0.6431440114974976,0.1787508428096771,1.565270185470581
1,10000,0.03,0.05,0.6030079368931742,4,3.419860978669758,2.9181690216064453,0.2016293099032172,1.526151418685913
1,10000,0.05,0.05,0.7173823903959532,8,0.761030947105794,0.8073327541351318,0.1787291572818273,1.5566633939743042
1,10000,0.07,0.05,0.6645422709532655,3,0.7845156298408026,0.697400689125061,0.1801458106765264,1.55815327167511
1,10000,0.08,0.05,0.6970842812496882,8,0.7559037351910072,0.7805373668670654,0.1790372648193866,1.5571836233139038
1,10000,0.1,0.05,0.6890065034421591,8,0.746317761608317,0.8269131779670715,0.1790186006434356,1.557486057281494
1,10000,0.0,0.07,0.681169812524548,7,0.7404759281043765,0.6222857236862183,0.1781439594452894,1.5620964765548706
1,10000,0.02,0.07,0.689755470936115,9,0.7598411742644974,0.6221180558204651,0.1784841229644002,1.5621075630187988
1,10000,0.03,0.07,0.6790056732698129,9,0.4038001653514331,0.1425643414258957,0.1673476611134372,0.552067220211029
1,10000,0.05,0.07,0.7018080454892838,4,0.7829110147077826,0.7561665177345276,0.1798579492900945,1.5588006973266602
1,10000,0.07,0.07,0.6902364465336388,9,0.7779282520088968,0.8145975470542908,0.1795628431099879,1.5591609477996826
1,10000,0.08,0.07,0.6995901884367833,7,0.3647536833452273,0.1531464457511901,0.1671121629733073,0.5043111443519592
1,10000,0.1,0.07,0.6745579664093944,6,0.75393538309049,0.7311056852340698,0.1795242492911181,1.5622638463974
1,10000,0.0,0.08,0.7093149265704247,7,0.7497123672237879,0.6155074238777161,0.1781457234409791,1.5619670152664185
1,10000,0.02,0.08,0.7108209766590824,9,0.7632824401312237,0.6383780837059021,0.1787252907134309,1.566592574119568
